what,kind,bundleId,bundleVersion,description,time
executed,command,org.tigris.subversion.subclipse.ui,1.6.7,"org.tigris.subversion.subclipse.ui.update",1266506283921
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266506284218
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266506284531
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266506678453
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266506678593
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266506686125
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266506686125
executed,command,org.tigris.subversion.subclipse.ui,1.6.7,"org.tigris.subversion.subclipse.ui.update",1266506788562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266506788859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266506789390
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266507394031
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266507584484
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1266507584843
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1266507585343
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266507588609
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266507588687
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266507610375
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266507610984
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266507611171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266507629562
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1266507633828
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266507638750
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266507640843
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266507646125
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266507669531
